Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
Pre-Columbian Standing Human Figure,Dolls and Figurines, 00399, Olmec, Jade, 7.00 x 24.00 cm, Pre-Classic, Figurine; man; standing
Faberge Bear,Dolls and Figurines,00956,Faberge,Silver rubies,,1899,"figurine; bear. Faberge mark, marked ""84 Zolotniks""; Signed; hand-carved and crafted silver reclining bear in flat rolled. Gathered and worked to form raised head and curled paws. Rubies inset into bear's head. Workmaster's mark verified but unknown as to actual name. Inscribed and dated."
Ottoman Angel,Dolls and Figurines,01090,Ottoman,Painted wood,43.00 x 22.00 cm,1300-1600,"figure, angel"
Trout and Fly,Dolls and Figurines,00503,Steuben,Crystal; Gold,8.5 x 7 x 2 in,,"figurine; signed, numbered 1002"
Hopi Kachina,Dolls and Figurines,00864,Hopi,Cottonwood,8 in,1800s,figurine; missing hands
Falconer,Dolls and Figurines,00651,Henrik Wigstrom,Gemstones; gold; silver,9 x 3 in,,figurine; signed
Antique Andirons,Other - Assorted, 00240,, Gold plated, 18 x 14 x 5.5 in, Early 19th Century, andiron; leaves; acorn; lion
Gilt Bronze Fire Fender and Chenet,Other - Assorted,00183,,Gilt bronze,,1890's,Fire Fender
Decorative Andirons,Other - Assorted,00240,,Gold plated,18 x 14 x 5 in,,andiron; child
Barovier Spina Platter,Flatware, 00881, Barovier, Glass, 10 in,, platter; No signature
Set of 6 silver Swedish spoons and 1 curled horn spoon,Flatware, 00956, Swedish, Silver; gold; enamel,,, spoons
Kanzan,Flatware,00828,Japan,Porcelain enamel,Height: 1.5 in; Diameter: 8 3/4 in,Meiji Period,plate; Asian; geometric
Two Women with Bowl of Cherries,Flatware,00653,Christopher Rote,Oil on canvas,8x14 in,,
Christinia,Flatware, 00956, David Anderson; Swedish, Silver enamel,, 1890," serving set; tongs; strainer; demitasse; scoop; spoon; Gilded silver marked ""925"" pure, box marked ""Christinia"" assumed to be the pattern name, box is marked ""David Anderson Jeweler"" with an indistinguishable trademark with crown"
Round Table with Goat Protomes,Other - Arts and Antiques,00674,,Stone; wood,"41.5""",,
Brass Double Standing Cherub Table with Glass,Other - Arts and Antiques,00674,,Brass,"23"" x 14"" x 21""",,
Archangel Sealtiel 1/2,Paintings,01148,Unknown,Oil on canvas,Height: 165 cm; Width: 110 cm,18th Century,
Colt First Model Martial Dragoon,Firearms and Blades,00650,Colt,Wood and metal,7.5 in barrel,,No image included for this item; Serial
Leman Trade Rifle,Firearms and Blades,00559,"Henry Leman, Leman Firearms, Lancaster, PA",Hard maple stock; heavy barrel; small brass patch box and stock plate; wooden ramrod,47 x 32 in,1845-1870,"percussion rifle; ""Leman Lanctr, Pa"" inscribed on wooden ramrod; good condition, modified by previous owner"
Colt 1860 Model Army Revolver,Firearms and Blades,01198,Colt,Wood and metal,8 in barrel,1860,Serial number 23796; 4 screw frame; .44 caliber revolver
Brown Bess Flintlock Musket,Firearms and Blades,01153,,Metal and wood,Approx. 5' long,1775,
Philad Long Rifle,Firearms and Blades,00694,H. Deringer Philad,Gun; metal; steel; walnut,49 x 33 x 48 in,19th Century,rifle weapon On a white self-stick label
Springfield Trapdoor 45/70 Rifle,Firearms and Blades,00694,Springfield,Wood and metal gun,41 in,,No Image Associated with this Item; Serial number 125310
Russian Gravy Boat,Holloware,00081,Russia,Enamel,5 x 10 in,,gravy boat
Hipplewhite Glass Decanter,Holloware,00251,Hipplewhite,Glass,14 in,Circa 1795,decanter; eagle
Russian Enamel Gravy Boat,Holloware,00081,Russia,Enamel,7 in,,gravy boat
Little-headed pitcher,Holloware,00192,Pablo Picasso,Earthenware,Box: 13 x 14.5 cm,1953,Pottery pitcher; Figures; miscellaneous markings on handle
Saint Nicholas,"Icons, Triptychs, Diptychs", 00285, Vladimir Ovchinnikov, Silver; gilding; enamel,, 1873, icon
Feast Day,"Icons, Triptychs, Diptychs", 00285, Russia, Wood tempera,, 19th Century, icon; Life of Christ
"19th Century Icon, Christ","Icons, Triptychs, Diptychs", 00285, Russia, Silver enamel,, Late 19th Century, icon; Jesus Christ
Madonna and Child Icon,"Icons, Triptychs, Diptychs",00285,Master of St. Petersburg,Silver gilding,,Late 19th Century,icon; Virgin Mary; child
Portrait of Three Saints,"Icons, Triptychs, Diptychs",00919,Byzantine,Tempera on wood,18.5 x 14 in,12th Century,icon; religious; men; three; saints; halo; robes; bible; unsigned
Our Lady of Yaroslavl,"Icons, Triptychs, Diptychs",00940,Russian,Wood; paint; gold leaf,13 x 10 x 1 in,15th Century,"icon; Jesus Christ; child; Virgin Mary; halo; Upper left corner displays Greek lettering which means ""Mother of God"" and Greek lettering next tot he infant's head which means ""Jesus Christ"""
Birth of St. John the Baptist,"Icons, Triptychs, Diptychs",00186,Macedonia,Panel,34 x 20 in,16th Century,icon; religious; saint; women; red
"1824 Icon, Christ","Icons, Triptychs, Diptychs",00285,Russia,Silver,,1824,icon; Jesus Christ
Madonna and Child Icon,"Icons, Triptychs, Diptychs",00285,Russia,Silver gilding,,Late 19th Century,icon; Virgin Mary; child
Daniel Lencioni 2-Panel Diptych,"Icons, Triptychs, Diptychs",00536,Daniel Lencioni,Collage paper,29 x 43.5 in,,diptych; Signed D. Lencioni
Censer,Other - Assorted, 00475, Spanish Colonial, Silver, 21 cm x 11 cm, 19th Century,
1962 Gretsch White Penguin,Instruments,00087,Gretsch,"Wood body & neck, metal strings",,1962,"guitar; serial number 42012, has original tags"
Duetto II,Instruments,00923,Mikio Watanabe,Mezzotint print,,20th Century,Signed lower left; #10/30
Cousin Wilbur Acoustic Guitar,Instruments,00624,Gibson,Maple wood,"16 7/8"" wide back and sides; 25 1/2"" long","Late 1940s, early 1950s",
Guadagnini 1778 Violin,Instruments, 00708, Giovanni Battista Guadagnini, Wood, 35.40 x 16.60 x 11.40 x 19.15 cm, 1778," violin; Bears label of Guadagnini, dated 1778."
Mozzani Violin,Instruments, 00288, Luigi Mozzani, Maple spruce, 36.00 x 16.70 x 11.30 x 20.70 cm, 1917, violin; #108 -- id information visible on label pasted inside violin
Amati Violin,Instruments,00442,Hieronymus and Antonius Amati,Wood,"13 7/8"" length of back",c. 1622,
Double Bass,Instruments,00713,,Antique,,,"bass; penciled inscription along back of instrument visible through G string f-hole; indicates repair made in Pittsburgh, PA in 20th cent.; Addition of a brass b-extension made by KC Strings. Metal piece added to the E string hole. The tail piece has been replaced with a black and red cord."
Tononi Violin,Instruments,00060,Carlo Tononi,Maple; Spruce,14 x 6 7/16 x 4 7/16 x 7 15/16 in,1700-1730,violin; The varnish has a golden brown color and shows considerable wear on the back.
Lamoureux/ Ex-Zimbalist Stradivarius Violin,Instruments,01188,Antonio Stradivari,Wood,,1735,
19th Century Enrico Marchetti Cello,Instruments,01216,Enrico Marchetti,Wood (maple and spruce),Length of back: 29.8 inches; Upper bouts: 13.5 inches; Middle bouts: 9.2 inches; Lower bouts: 17.2 inches,1890,Label inside cello reads
Four Section Ivory Flute,Instruments, 01039, English, Ivory, 35.5 in, Early 19th Century, flute; music
Crystal and Sterling Flute,Instruments, 01039, Claude Laurent, Crystal; sterling silver, 23 7/8 in, 1814," flute; music; The ferrule on the lower middle joint is engraved ""LAURENT/a Paris/1814"""
Tribal Whistle,Instruments,01106,Mayombe; Africa,Wood horn,20.00 cm,19th Century,whistle
Claude Laurent Flute,Instruments,00637,"Claude Laurent; Paris, France",Crystal silver,22 in,1825,flute; One of the segments bears a silver band which contains a number of inscriptions. One of the inscriptions appears
18th Century Ivory Recorder,Instruments,01039,,Ivory,,18th Century,recorder; music
Rainbows for William,Photographs, 00963, Michael Kenna, Photograph,,, photograph; Michael Kenna copyright and edition number on back.
"Shell Earrings, Gold and Diamonds",Jewelry,00911,Zadora Limited,Gold; diamond,,20th Century,"earrings; shell; ""Zadora"" signature and possible engraved goldsmith initials"
"Shell Earrings, Citrine and Ruby",Jewelry,00911,Zadora Limited,Citrine; Ruby; Gold,,20th Century,"earrings; shell; ""Zadora"" signature and possible engraved goldsmith initials"
"Frog Earrings, Sapphire and Diamond",Jewelry,00911,Zadora Limited,Gold; diamond; sapphire,,20th Century,"earrings; frog; ""Zadora"" signature and possible engraved goldsmith initials"
"Russian art jewelry, egg-shaped pendant",Jewelry,00956,Russian,Silver; gold; enamel,,1880-1900,pendant; egg
Three Russian Enameled Faberge Eggs,Jewelry,00956,Faberge,Silver; Enamel,,1885-1905,pendant; egg
Winter Frost,Jewelry,00820,,Silver; lavender and clear quartz; glass; enamel,2 in x 2.25 in x 0.5 in,20th century,Possibly marked with DLSIC 2012 on back rim.
1962 Yankees World Series Ring,Jewelry, 00429,, Gold,, 1962,
1973 Mets NL Champs Manager Ring,Jewelry, 00429,, Gold,, 1973,
1969 Mets World Series ring,Jewelry, 00429,, Gold,, 1969,
1951 Yankees World Series Ring,Jewelry, 00429,, Gold,, 1951,
1974 All Star Game Manager Ring,Jewelry,00429,,Gold,,1974,Larry Berra
1953 Yankees World Series Ring,Jewelry,00429,,Gold,,1953,
1947 Yankees World Series Ring,Jewelry,00429,,Gold,,1947,
1961 Yankees World Series Ring,Jewelry,00429,,Gold,,1961,
1958 Yankees World Series Ring,Jewelry,00429,,Gold,,1958,
1998 Yankees World Series Honorary Ring,Jewelry,00429,,Gold,,1998,
Gold Ring with Carved Gem Stone,Jewelry,00454,Hellenistic or Roman,Gold; Serpentine,,Hellenistic/Roman,ISIL looted antiquity.
1982 All Star Game Coach Ring,Jewelry,00429,,Gold,,1982,
Baltimore Orioles World Series Ring,Jewelry,00158,,"ring; baseball; ""B. Robinson"" engraved on side of ring. ""R.S. Gill"" engraved on the inside band",,1966,
1949 Yankees World Series Ring,Jewelry,00429,,Gold,,1949,
1978 Yankees World Series Coach Ring,Jewelry,00429,,Gold,,1978,
1952 Yankees World Series Ring,Jewelry,00429,,Gold,,1952,
Stanley Cup Championship Ring,Jewelry,00959,Unknown,Gold and diamond ring,83.6 grams,2009,
1950 Yankees World Series Ring,Jewelry,00429,,Gold,,1950,
Acorn,"Lamps, Lighting", 00967, Tiffany, Metal; copper; stained glass, 24 in, 1906," lamp; green; Signed ""LCT"" on the base; signed ""Tiffany Studios, New York"" inside the lampshade in the impressed signature style."
Tiffany Lamp with Leaded Ivory Shape,"Lamps, Lighting", 00011, Tiffany; Frank Lloyd Wright, Stained glass," 4' 5""",, lamp
Tiffany Lamp in Shades of Irory,"Lamps, Lighting", 00011, Tiffany; Frank Lloyd Wright, Stained glass," 4' 5""",, lamp; Bad crack with chip
Purple Spider and Web,"Lamps, Lighting", 00202, Tiffany, Stained glass," Diameter of shade: 15""; Diameter of base: 8.5""; Height of base: 18""",," lamp; geometric; Marked ""TIFFANY STUDIOS NEW YORK"""
Champleve Lamps,"Lamps, Lighting", 00240,,, 16 x 6 in, 1850-1910, lamp; man; beard
Daffodil,"Lamps, Lighting",00583,Tiffany,Stained glass bronze,Dia,,lamp; flowers; daffodil; leaves; Stamped Tiffany Studios
"Green, Yellow, Orange and White colored Tiffany Lamp","Lamps, Lighting",00635,Tiffany,Stained glass,10 in,,lamp; bird
"Blue, Yellow and Green colored Tiffany Lamp","Lamps, Lighting",00635,Tiffany,Stained glass,28 in,,lamp; grapes
Conneaut Slip-shade Chandelier,"Lamps, Lighting",00313,Conneaut Company,Aluminum; iridescent white and yellow glass.,,1914-1945,"Aluminum floral design frame with five iridescent white shell shaped slip-shades and two extra yellow shell-shaped slip-shades. ""Conneaut"" inscribed on the inner edge of the white slip shade glass."
Iris (lamp),"Lamps, Lighting",00409,Galle,glass,,,lamp; flowers
"Tiffany Lamp in Peach, Orange and Aqua","Lamps, Lighting",00011,Tiffany; Frank Lloyd Wright,Stained glass,"4' 5""",,lamp
Wisteria Tiffany Lamp,"Lamps, Lighting",00208,Tiffany,Stained glass,"Shade: 14"" x 18""; Base: 2.5 """,,One green stone near the bottom of the shade is cracked the length of the stone; Base of the lampis black and is shaped like a tree with roots
Begonia on Gray,"Lamps, Lighting",00202,Tiffany,Stained glass,"Height: 17 in (base), Diameter: 6 3/4 in (base)",,"lamp; flowers; leaves; Marked ""TIFFANY STUDIOS NEW YORK"""
Tiffany Twelve Branch Lily Lamp,"Lamps, Lighting",00409,Tiffany,Stained glass,19.5 in,,"lamp; lily; Signed ""Tiffany Studios, New York"""
Dogwood,"Lamps, Lighting",00584,Tiffany,Stained glass,Height,,"lamp; flowers; dogwood; Signed ""Tiffany Studios, New York"""
Tiffany Lamp with Flowers on Bronze Base,"Lamps, Lighting",00632,Tiffany,Stained; glass; bronze,30 in,Circa 1900,lamp; flowers
The Bat,"Lamps, Lighting",00202,Tiffany,Stained glass,lamp; bat,,
Green Dragonfly on Orange,"Lamps, Lighting",00202,Tiffany﻿,Stained glass,"lamp; dragonfly; Large (4"") signature tag",,
Dome Shaped Tiffany Lamp with Lower Double Border,"Lamps, Lighting",00584,Tiffany,Stained glass,Height: 65 in; Diameter: 22 in,,"lamp; flowers; Signed on lamp ""Tiffany Studios, New York""; bronze finial with a presentation inscription to E. J. Beinecke, dated 1916; Numbered 1505"
Tiffany Lamp in Pastel Orange,"Lamps, Lighting",00011,Tiffany; Frank Lloyd Wright,Stained glass,"4' 5""",,lamp
Green and Purple colored Tiffany Lamp,"Lamps, Lighting",00635,Tiffany,Stained glass,24 in,,lamp
"Native American, Chief's Headdress with Sun Rays",Ethnographic Works of Art, 00248, Pacific Northwest; Tsimshian, Wood,,, mask; Pacific Northwest; sun; face
"Poro Society mask with tubular eyes, open mouth, high forehead",Ethnographic Works of Art, 00775, N'Gere; Liberia, Carved wood, 10 5/8 in,, mask; African; face; mask
Miniature Alaskan Indian Mask,Ethnographic Works of Art, 00852, Northwest Coast culture Area; Alaska, Wood carved, 3 x 3.5 in, 19th century, mask; Pacific Northwest; face; Unsigned﻿
Fire Spitter Mask,Ethnographic Works of Art, 00148, Senufo; Africa, mask; African; dragon,,,
"Native American, Beaver Headdress",Ethnographic Works of Art,00248,Pacific Northwest; Haida,Wood,,,mask; Pacific Northwest; beaver
Pre-Columbian Jaguar Mask,Ethnographic Works of Art,00409,Pre-Columbian,Stone,,,mask; Pre-Columbian; face
Haida Mask,Ethnographic Works of Art,00692,Haida,Wood paint,9 x 6 in,,mask; face; Pacific Northwest; Native American; blue; red; black; Number 2/9389
Baule Mask,Ethnographic Works of Art,00148,Baule; Africa,Wood,18 x 9 in,,mask; African; mask
"Native American, Headdress Mask Inlaid with Haliotis Shell",Ethnographic Works of Art,00248,Pacific Northwest; Tlingit,Wood﻿,,,mask
Poro Society mask with bulging eyes and wide nose.,Ethnographic Works of Art,00775,N'Gere; Liberia,Carved wood,10 in,,mask; African; face; mask
"Ceremonial Mask, Guatemala",Ethnographic Works of Art,00688,Guatemala,,19.00 x 20.00 x 7.50 cm,,mask; face; mask
Kifwebe Mask,Ethnographic Works of Art,00148,Songye; Africa,Wood carved,,,mask; African
Dan Mask,Ethnographic Works of Art,00148,Dan; Africa,Wood,12 x 6 in,,mask; African; mask
"Native American, Tsimshian Mask",Ethnographic Works of Art,00248,Pacific Northwest; Tsimshian,Wood,,,mask; Pacific Northwest
Danish Ladle,Flatware,00091,Georg Jensen; Denmark,Silver,5.5 in,Circa 1925,ladle; Marks
Set of 6 silver Faberge spoons,Flatware,00956,Faberge,Silver,,,spoons
Waiter Tray,Flatware,01075,Gorham,Silver,27.5 x 25.5 in,1890,
MARR Silver Tea Service,Flatware,00623,,Silver,,1840s,silver; initials MARR etched on bottom of pieces
Dragon chair,Other - Arts and Antiques, 00734,, Rosewood; hand carved with two carved ivory eyes, 34 x 32 in; Diameter: 26 in; Weight: 45 lbs, Meiji Period: 1852-1912," Barrel back of the chair is hand crafted of one piece of solid rosewood, darkened by natural aging; Antique Japanese dragon chair"
Caryatid Polished Bronze Mirror,Other - Arts and Antiques,00280,Egyptian,Bronze,32.30 x 19.30 cm,1479-1425 BC,mirror; sculpture; lion; god; standing; Bes; CMA number 83.195 on mirror
Golden Monstrance with Tripod,Other - Arts and Antiques, 00480, Mexico, Metal, 60.00 x 29.00 x 16.00 cm, 19th Century, monstrance; religious; Religious patterns
Monstrance,Other - Arts and Antiques,00475,,Silver; gold,115 cm x 48 cm x 38 cm,17th Century,CZ.C2/v/2.4/B.006/006
Religious Monstrance,Other - Arts and Antiques,00519,,Gold plated,60.00 cm,,monstrance; religious
Maggie in Blue,Paintings,00814,Judy Brady,Oil on paper,24 x 18 in,,Signed by artist
Portrait of Sky,Paintings,00653,Christopher Rote,Oil on canvas,60 x 40 in,,
Madonna del Murillo,Other - Arts and Antiques,00810,Bartolome Esteban Murillo; Italy,Mosaic,48 x 36 in,Circa 1600,mosaic; religious; Madonna; Signed
Beaded Mask,Clothing and Costumes,00801,Darrell Thorne,Beaded mask,hand made mask,,
Enamel Napkin Rings,Flatware,00081,Russia,Enamel,napkin ring,,
"Brass Astrolabe, by Ziya al-Din Muhammad",Other - Assorted, 01075, Ziya al-Din Muhammad, Brass, 1637-1650,, astrolabe; Arabic; navigation; Inscriptions overall in Arabic
"Indian, Mughal Necklace",Jewelry,00091,India,Diamonds; pearls; enamel; fabric,8 in,Late 19th century,necklace
"Bead Necklace, Chalcedony, Sapphire and Diamond",Jewelry,00911,Zadora Limited,Chalcedony; sapphire; diamond,20th Century,,"necklace; ""Zadora"" signature and possible engraved goldsmith initials"
"Studded Gold and Diamond Quilted Necklace, match to Bracelet RH-49030-72",Jewelry,00911,Zadora Limited,Gold; Diamond,20th Century,,"necklace; ""Zadora"" signature and possible engraved goldsmith initials"
Dragon King,Other - Arts and Antiques,00849,Japan,Carved wood,9.20 x 3.40 x 2.60 cm,Late 18th century,netsuke; Asian; figure
Upper Part of Sumerian Stone Sculpture,Ethnographic Works of Art,,,,,,No Image Associated with this Item
Fossil Rodent,Other - Assorted,,,,,,No Image Associated with this Item
"Creodont, Primitive Carnivore",Other - Assorted,,,,,, No Image Associated with this Item
Man in Armour,Other - Arts and Antiques,,,,,, No Image Associated with this Item
Byzantine Architectural Embellishment,Other - Arts and Antiques, 01098, Byzantine; Turkey, Marble, 66.50 x 11.00 cm,, architectural element; birds; foliage
"Chinese Vases with Yellow, Red, and Green Flowers",Vases, 00343, China,, 36 in,, vase; flowers
Der Seiltanzer,Prints,00112,Paul Klee,Paper,17 3/8 x 10 5/8 in,1923,lithograph; modern art; line drawing; acrobat; tight rope; ladder; signed
The Holy Mass of St. Gregory | Die Messe des heiligen Gregor,Prints,00457,Albrecht Durer; Germany,Paper,29.50 x 20.50 cm,1511,engraving; Renaissance; religious; priest; Jesus Christ; angel; kneeling; figures; cross; ladder; Dated and signed in monogram in lower left corner; Reproduced in Albrecht Durer 147 bis 1528.
L'Opera,Paintings,00441,Edouard Cortes,Oil on canvas,13 x 18 in,1900-1969,"painting, Paris, France; signed lower right ""Edouard Cortes"""
Still Life with Rabbit and Pheasant,Paintings,00876,Arbit Blatas,Oil on carton,,20th Century,"painting; impressionism; still life; plates; bottle; knife; pheasant; rabbit; Signed lower right ""A. Blatas"""
Famille de paysans au diner | Peasant Family at Dinner,Paintings,00958,Cornelis Saftleven,Oil on panel,32.50 x 43.00 cm,1607-1681,painting; men; women; sitting; eating
"Dorje Palmo, Standing Bronze",Sculptures,00258,Tibetan,Bronze,6.5 in,10th Century,"sculpture, standing figure, religious"
Elk,Sculptures,00785,David Daniels,Bronze,14 x 18 in,,"sculpture, elk, One of 8 made, with a max. of 10."
Royal Vienna Factory porcelain plates,Ornamental Ceramic Wares, 01054," Royal Vienna Factory, Vienna, Austria", Hard paste porcelain plates," Diameter: (1) 9.5"" (2) 9.75"" (3) 9.5"" (4) 9.75""", (1) 1796 (2) 1798 (3) 1795-1796 (4) 1796," (1) Accession #171; the inscription ""Vue de l'Entree de la Grotte/de Pausilippe, prise en y arrivent/du Cote de Naples"" is written in black enamel script on the underside of the plate within the footrim. The inscription ""M-1503.13"" is handwritten in red paint on the underside of the plate within the footrim. There are three marks: Royal Vienna Factory beehive in underglaze blue; ""96"" stamped incuse within a rectangular surround; ""[61]"" stamped incuse within a rectangular surround, all on the underside of the plate within the footrim"" (2) Accession #173; There are three marks: Royal Vienna Factory beehive in underglaze blue; 98 stamped incuse within a rectangular surround; 32 stamped incuse within a rectangular surround, all on the underside of the plate within the footrim"" (3) Accession #174; there are five marks: Royal Vienna Factory beehive in underglaze blue; ""95"" stamped incuse within a rectangular surround; ""17"" stamped incuse within a rectangular surround; ""96' handwritten in gold; ""3"" incised, all on the underside of the plate within the footrim. (4) Accession #177; there are four marks: Royal Vienna Factory beehive in underglaze blue; ""96"" stamped incuse within a rectangular surround; ""32"" stamped incuse within a rectangular surround; ""7"" incised, all on the underside of the plate within the footrim."
Belcher Engraved Bowl,Ornamental Ceramic Wares, 00389, Caddo Nation, Ceramic, 13.80 cm, 600 AD," pottery; engraved with slanted line motif, repeats four times, one horizontally incised line on interior at shoulder line; not cracked or chipped, no signs of use or wear"
Native American Canteen Jar,Ornamental Ceramic Wares, 00205, Native American, ceramic,, 13th Century, pot; geometric; Southwest; red; Number 72.1.126/725
Foster Trailed-Incised Vessel,Ornamental Ceramic Wares, 00389, Caddo Nation, Ceramic, 13.00 cm, 600 AD, pottery; incised design repeating four times; unzoned punctuation on rim
Raku,Ornamental Ceramic Wares, 00507, Japan, Ceramic, 5 in,, Tea bowl
"Thomas Moore, Silver Tankard with Lid",Ornamental Ceramic Wares, 01048, Thomas Moore; English, Silver,, 1759, tankard
Hagi,Ornamental Ceramic Wares, 00507, Japan, Ceramic, 6 in,, tea bowl
Belcher Engraved Bowl,Ornamental Ceramic Wares, 00389, Caddo Nation, Ceramic, 5.00 cm, 600 AD," pottery; engraved linear design, repeats four times; sharp-shouldered bowl, four nodes, evidence of mica in paste, no signs of use or wear"
"Native American Pot, Tonoto Polychrome",Ornamental Ceramic Wares, 00205, Native American, ceramic, Height: 6 in; Rim: 3.75 in, 13th Century, pot; geometric; Southwest; black; white; red; Number 72.1.187/350
Natchitoches Engraved Bowl,Ornamental Ceramic Wares, 00389, Caddo Nation, Ceramic, 7.20 cm, 600 AD," pottery; repeating design of vertically placed volutes and circles on hatched background on exterior, single incised line on interior at shoulder line; no evidence of wear or use"
George IV Tea Service,Ornamental Ceramic Wares, 00091, England, Silver; ivory,, 19th Century, tea service; lion; dog; See description
Foster Trailed-incised Vessel,Ornamental Ceramic Wares, 00389, Caddo Nation, Ceramic, 19.40 cm, 600 AD," pottery; trailed volute design, repeats 3 times, no center nodes; portions of interior and exterior lightly coated with soot"
Hopi Vessel,Ornamental Ceramic Wares, 00145, Anonymous, Ceramic,, 1920s," pottery; painted with black geometric bird design, with small amount of red in wings of each bird; two chips, including large chip out of rim, surface worn, two cracks downward from rim"
Hodges Engraved Bottle,Ornamental Ceramic Wares, 00389, Caddo Nation, Ceramic, 8.80 cm, 600 AD," pottery; engraved design with traces of red pigment, vertical folding meander motif, repeats three times; not cracked or chipped, no signs of use or wear, spool neck"
Indian Metal Pitcher,Ornamental Ceramic Wares, 00240, India, Brass silver, 26 x 9 in,, pitcher
French Urns,Ornamental Ceramic Wares, 00240, Sevres; France, Porcelain marble,Urn: 38 in; Base: 42 in, 1805-1806, urn; eagle; crown; battle; Napoleon; Each is signed H. Desperz Sevres; top of one urn is marked inside Quisterlitz M. Imn le de Sevres; top of the other urn is marked Tena M. Imn le de Sevres
Foster Trailed Incised Vessel,Ornamental Ceramic Wares, 00389, Caddo Nation, Ceramic, 14.40 cm, 600 AD, pottery; incised volute design with single flattened center nodes; no signs of use or wear
Keno Trailed Bottle,Ornamental Ceramic Wares, 00389, Caddo Nation, Ceramic, 10.90 cm, 600 AD," pottery; vertically placed interlocking scroll motif, repeats twice, spool neck, slightly flared rim"
Pair of Ewers,Ornamental Ceramic Wares, 00240,, Bronze, 23 x 6 in,, pitcher; cherub; leaves; grapes
Hodges Engraved Bowl,Ornamental Ceramic Wares, 00389, Caddo Nation, Ceramic, 5.40 cm, 600 AD," pottery; engraved or incised linear design in red pigment; no signs of wear, missing rim pieces"
Bird Effigy Bowl,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,3.70 cm,600 AD,"pottery; bowl representing a quail; interior and exterior badly eroded, attachment scar of small adorno appears on rim opposite head"
Cabaness Engraved Bowl,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,6.90 cm,600 AD,"pottery; incised design in white pigment of interlocking scrolls, repeats four times; no signs of use or wear"
Keno Trailed Bottle,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,12.00 cm,600 AD,"pottery; single incised line halfway down neck, interlocking scroll design on body that inverts as repeats twice; not cracked or chipped, spool neck"
Pre-Colombian Costa Rico Ceramic Tripod Art,Ornamental Ceramic Wares,00689,Costa Rica,Ceramic,,,vessel; Pre-Columbian; tripod
"Native American Jar, Gila Polychrome",Ornamental Ceramic Wares,00205,Native American,Ceramic,Height: 6.25 in; Diameter: 18.25 in,13th Century,pot; geometric; Southwest; black; white; Cracks have been filled in. One hole has been restored.
Avery Engraved Bowl,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,16.50 cm,600 AD,"pottery; single row of dry paste punctuations/incisions, rising sun motif repeating 4 times; traces of white pigment in incised lines, vessel slightly warped"
Volcano Pot,Ornamental Ceramic Wares,01139,Stella Chavarria,Ceramic,Height: 4in; Width: 4.5in,,
Style #18 Langue,Ornamental Ceramic Wares,01139,Joy Navasie (Frog Woman),Ceramic,Height: 9 in; Width: 6.25 in,,
Belcher Engraved Bowl,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,8.50 cm,600 AD,"pottery; incised design with heavy white pigment in rim and shoulder lines, traces of pigment in negative areas, repeating slanted line motif on shoulder; missing rim pieces"
Silver Gilded Tankards,Ornamental Ceramic Wares,00462,Germany; Hans Ment,Silver gilt,13.40 cm,Late 16th Century,tankard
Pre-Columbian Pottery,Ornamental Ceramic Wares,00689,Pre-Columbian,Ceramic,,,vase; Pre-Columbian; armadillo
French Urns,Ornamental Ceramic Wares,00240,Sevres,Porcelain bronze,10 x 8.5 in,1779,urn; woman; wings; man; dog; signed G. Poiterin
Large Socorro Jar,Ornamental Ceramic Wares,00864,Navajo,Clay,18 in,1200-1300,pottery; Olla; mint condition
Hodges Engraved Bottle,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,14.30 cm,600 AD,"pottery; engraved circular and spiral designs; neck slightly bulged, flaring rim, lip badly eroded in places due to predispositional weathering"
Pre-Columbian Tripod with Animal Symbols,Ornamental Ceramic Wares,00689,Costa Rica,vessel; Pre-Columbian; tripod; animals,,,
Ornate English Tea and Coffee set,Ornamental Ceramic Wares,01048,Sheffield,Silver,,1811-1818,tea set
Ceramic pot by Belen Tapia,Ornamental Ceramic Wares,01139,Belen Tapia,Ceramic,Height: 11.5in; Width: 8.5in,,
"Turner, Ornate Tankard",Ornamental Ceramic Wares,01048,William Turner,Silver,,1760-1762,tankard
Wedding Vase by Margaret Tafoya,Ornamental Ceramic Wares,01139,Margaret Tafoya,Ceramic,Height: 11.5in. Width: 8in.,,
Pre-Columbian Ceremonial Vessel,Ornamental Ceramic Wares,00689,Pre-Columbian,vessel; Pre-Columbian; nude man,,,
Gao Fenghan Brushpot,Ornamental Ceramic Wares,00215,Gao Fenghan,Wood,"7 3/8 x 7 1/2 in, y",17th-18th Century,"vessel; in Chinese ""Given to Taoist Nanfu by Fengyun Heshang. Zuoshou"""
Small Engraved Bowl,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,4.90 cm,600 AD,"pottery; irregular, lightly engraved parallel lines on rim, plain body; portions of exterior and upper body coated with white substance, apparently calcium carbonate"
