Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
Simplicities defense against seven-headed policy,Books, 00895, Samuel Gorton, Printed paper, 18.50 cm, Copyright 1646," book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
The Kenyon Book,Books, 00895, W. B. Bodine, Printed paper, 26.00 cm, Copyright 1890," book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
"C. Plinii Caec. Sec. Epist. lib. IX [i.e. X] Eiusdem & Traiani imp. epist. amoebaeae. Eivsdem Pl. et Pacati, Mamertini, Nazarii [et al.] panegyrici",Books, 00895, Pliny, Printed paper book, Length: 12 cm, Copyright: 1611, No Image Associated with this Item
The Method of Manjusri's Secret Yoga for Observing the Self and Becoming a Buddha in One Chapter,Books, 00865, China,, 21.90 cm, 1316, book; China; Woodblock edition
Vainglory,Books, 00895, Ronald Firbank, Printed paper, 19.00 cm, Copyright 1915," book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
Old Indian Days,Books, 00895, Charles Alexander Eastman, Printed paper, 20.00 cm, Copyright 1907," book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
An Exact Abridgement of All Statutes in Force and Use,Books, 00895, Edmund Wingate, Printed paper book, Length: 18 cm, Copyright: 1665, No Image Associated with this Item
The Prune People,Books, 00895, Edward Gorey, Printed paper book, Length: 15 cm; Width: 13 cm, 1983, No Image Associated with this Item
The Song of Hiawatha,Books, 00895, Henry Wadsworth Longfellow, Printed paper book, Length: 19 cm, 1855, No Image Associated with this Item
"Topographia Bohemiae, Moraviae et Silesiae",Books, 00925, Martin Zeiller, Book,, 1650, No Image Associated with this Item
The Many Pearls of the Dharma Garden in 120 Chapters,Books, 00865, Unknown (Chinese in origin), Book, Height: 22.70 cm, 1124, No Image Associated with this Item; Woodblock edition from the Pilu Tripitaka printed by the Kaiyuan Meditation Monastery of Fuzhou
Prajnaparamita Sutra in 600 Chapters,Books, 00865, China,, 24.10 cm, 1115, book; China; Woodblock edition from the Pilu Tripitaka printed at Kaiyuan Monastery of Fuzhou
The Theory of the Earth,Books, 00895, Thomas Burnet, Printed paper,, Copyright 1697," book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
National Gazetteer in 90 Chapters,Books, 00865, China,, 21.40 x 14.20 cm, Qing Period, book; China; Woodblocks from the Wanshou Hall in Ming with early Qing repairs
Stolen & Contaminated Poems,Books, 00895, James Laughlin, Printed paper, 23.00 cm, Copyright 1985,
"Collection of Writings, Affairs, and Literature of the Ming Dynasty, 170 chapters",Books, 00865, China,, 24.60 x 17.00 cm, Ming Period, book; China; Palace Woodblock edition
"Biographies of Famous Officials, Wanyan, new edition",Books, 00865, China,, 19.20 x 13.30 cm,, book; China; Song woodblock with Yuan and Ming period repairs
The Glass Key,Books, 01123, Dashiell Hammett,,,, Call no. PS3515 .A4347 G5 1931 First edition published in 1931
Bishop Chase's Last Appeal,Books, 00895, Philander Chase, Printed paper,, Copyright 1841,
Historical Sketches of the Angling Literature of All Nations,Books, 00895, Robert Blakey, Printed paper, 17.00 cm, Copyright 1856,
Sea of Jade (Encyclopedia) in 200 Chapters,Books, 00865, China,,, 1340," book; China; Woodblock edition from the Confucian School of Qingyuan Circuit, Ming period additions"
The Life and Adventures of Nicholas Nickleby,Books, 00895, Charles Dickens, Printed paper, 22.50 cm,,
The Years Between Parodies,Books, 00895, Rudyard Kiplin, Printed paper, 25.00 cm,,"book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
The Trembling of the Veil,Books, 00895, William Butler Yeats, Printed paper, 23.00 cm, Copyright 1922,"book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
A Song for Simeon,Books, 00895, Thomas Stearns Eliot, Printed paper, 19.00 cm, Copyright 1938,"book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
Life and Adventures of Black Hawk,Books, 00895, B. Drake, Printed paper, 16.00 cm, Copyright 1839,"book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
"The Congo and Other Poems, 1879-1931",Books, 00895, Nicholas Vachel Lindsay, Printed paper, 20.00 cm,1928,"book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
Elegy on Dead Fashion,Books, 00895, Edith Sitwell, Printed paper, 25.00 cm, 1926,"book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book"
