,Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
4317,Terracotta Basket With Blanket Shard,Sculptures,00159,Dale Chihuly,Glass,Height: 8 in.; Diameter: 6 in.,1980,sculpture; vase; Signed and dated 1980
3724,Backcountry Bows,Sculptures, 00520, Ott Jones, Bronze, 15 x 14 in, 1995," sculpture, fish, Work is signed.; #3/32"
4223,Deep Night Macchia with Royal Blue Lip Wrap,Sculptures,00872,Dale Chihuly,Glass,Height: 10 in.; Width 23 in.; Depth: 18 in.,,Sculpture
3964,Flaming Scarlet Macchia with Blue Water Lip Wrap,Sculptures,00872,Dale Chihuly,Glass,"10 x 26 in, y: 19 in",,Sculpture
3606,Zobeide,Sculptures, 01017, Erte, Bronze; gold leaf, 21.5 in, 20th Century, sculpture; art deco; woman; standing; chains; tassels; #198/375
4107,Centurion,Sculptures,00122,Igor Mitoraj; Italy,Bronze,8 x 5 in,1989,sculpture; bust; man; fragment; blue; signed
4194,Abstract Framed Sculpture in Pink and Brown,Sculptures,00900,Anthony Quinn,Wood,28 x 22 in,1981-1982,sculpture; abstract art; pink; brown; Not signed
4123,Standing female figure with incised patterns on torso,Sculptures,00775,Bambara; Mali,Carved wood,15 7/8 in,,carving; African; figure; nude woman
3654,Lavender Mauve Macchia Pair with Dark Teal Lip Wraps,Sculptures, 00872, Dale Chihuly, Glass, Height: 18 in; Width: 28 in; Depth: 24 in,, Sculpture
4139,Black Cylinder #13,Sculptures,00872,Dale Chihuly,Glass,Height: 11 in.; Width: 10 in.; Depth: 10 in.,,Sculpture
4295,From Broncs to Bronzes,Sculptures,00724,Grant Speed,Bronze,7 3/4 x 5 3/4 x 5 5/8 in,,sculpture; cowboy; man; standing; hat; chaps; lasso; #19/100
4313,Shield,Sculptures,00304,M. L. Snowden,"Bronze, patina, granite",31 x 28 x 18 in,2001,"Sculpture; ""AP 4"" (4/10) with title and artist's name"
3931,"Abstract Sculpture, White and Gray Marble",Sculptures,00565,Henry Klar; Gloria Klar,Marble,30 x 12 in,20th Century,sculpture; abstract art; white; gray; No markings.
4011,Little Horse,Sculptures,00615,Gloria Gramz,Bronze,6 x 4 in,2000,sculpture; horse
3941,"Bone Female Idol, Green",Sculptures,01049,,Bone,5.90 x 1.40 cm,,sculpture; woman; crown; dress
3897,Terracotta Woman's Head with Hair Woven on Forehead,Sculptures,01049,,Terracotta,3.10 x 2.55 cm,,sculpture; head; woman
4284,Snow,Sculptures,00953,Heinz Warneke,Plaster metal,7 x 9 in,Circa 1951,sculpture; snowflakes; no signature
3893,Emerging Flame,Sculptures,00558,Frederick Hart,Acrylic,25 in,20th Century,sculpture; nude woman; two; Signature F Hart engraved on the outer base of the sculpture; #163/395
3750,Fly Fishing,Sculptures, 00179, Carl Wagner, Bronze, 40 x 30 in,, sculpture; eagles; fish; signed. Name plate
3610,Palmyra Funerary Sculpture of a Women Making a Blessing,Sculptures, 00950,, Limestone, Height: 55 cm ; Width: 44 cm, 2nd-3rd Century AD," Three lines in Palmyrene on the right of the woman's head: ""Berreta daughter of Ogga son of Nasrai"""
3882,On Autumn Wind,Sculptures,00539,Don Dufva,Bronze,8 1/2 x 13 in,,sculpture; geese; flying; #5/12
3891,Le Chat (The Cat),Sculptures,00338,Theo Tobiasse,Bronze,8.7 x 4.6 x 15.4 in,1984,Series of 8 duplicates. Pieces 1 - 6 are still missing (7 and 8 have been recovered); Each scultpure is signed by the artist and numbered.
4170,Oscar,Sculptures,01024,,Metal; Gold plated,13.5 in,2000,"sculpture; Academy Awards; nude man; standing; Engraved serial no. 3030, 3033 and 3044, lower rear base of awards"
4266,Reliquary Figure,Sculptures,00148,Fang; Africa,Wood,24 in,Circa 1890,sculpture; African; man; figure; standing
4161,Joan of Arc,Sculptures,00081,,Silver; Ivory; Semi-precious stone,,,sculpture; woman; standing; armor; flag
3695,Bronze Nude,Sculptures, 00240, C. Noel, Bronze, 30 x 7.5 x 7.5 in,, sculpture; nude woman
4203,Prussian Green Cylinder with White Drawing,Sculptures,00872,Dale Chihuly,Glass,Height: 15 in.; Length: 8 in.; Depth: 8 in.,,Sculpture
4020,Sailfish Sculpture,Sculptures,00361,Andreas von Zadora Gerlof,"spectrolite, diamond, gold, rock crystal","Width: 9""",,
3991,Mr. Cloud,Sculptures,00290,Takashi Murakami,Acrylic synthetic resin fiberglass wood,27.5 x 31.5 in,2004,sculpture; cloud
4213,Firebird,Sculptures,00552,Erte,Bronze,16.5 in,,sculpture; nude woman; tail; wings; feathers; Signed; #92/250
4322,Bronze Figure on Black Marble Base,Sculptures,00565,Henry Klar,Bronze; Marble,18 in,20th Century,"sculpture; modern art; figure; standing; Signed ""Henry K"""
4280,Visions in Bronze: Wisdom,Sculptures,00528,Erte,Bronze,16 in,,sculpture; woman; standing; gown; fan; #130/375
3833,Cosmos,Sculptures,00534,Bennett Sculpture Gallery,Bronze,,,sculpture; Unsigned; #23 stamped on bottom
4111,Bearded Clay Head,Sculptures,01049,,Clay,11.5 x 8.8 x 7.8 cm,,sculpture; head; man; beard
4321,"Pre-Columbian Figure, seated",Sculptures,00409,Pre-Columbian,Rock crystal,,,sculpture; Pre-Columbian; figure; seated
4124,Red Soft Cylinder with Naples Yellow and White Drawings,Sculptures,00872,Dale Chihuly,Glass,Height: 9 in.; Width: 10 in.; Depth: 9 in.,,Sculpture
3657,Peach Cylinder with Indian Blanket Design,Sculptures, 00872, Dale Chihuly, Glass, Height: 9 in; Width: 6 in; Depth: 6 in,, Sculpture
3806,Pre-Columbian Jade Sculpture,Sculptures,00978,Pre-Columbian,Jade,5 in,,sculpture; Pre-Columbian; figure
3955,Female Figurine in pose with right hand on right breast,Sculptures,01049,,,12.30 x 4.30 cm,,sculpture; nude woman; standing; head missing
3829,Chalcedony and Rose Quartz Kingfisher Sculpture,Sculptures,00911,Zadora Limited,Chalcedony; rose quartz; gold,,20th Century,"sculpture; kingfisher; ""Zadora"" signature and possible engraved goldsmith initials"
1307,Persian Rug with Diamond Shaped Medallion Design,Textiles, 00240, Persian,, 156 x 144 in,, rug; medallion
355,Christmas in Japan,Textiles,00653,Christopher Rote,Oil on canvas,36 in x 36 in,,
1364,Kente Cloth,Textiles,00964,Cloth woven,Cloth woven,34 x 34 in,1900-1983,textile; lines; square; oval; geometric
4364,Jardain de Veronique,Textiles, 00791," Alain Hieronimus; Aubusson, France",, 66.5 x 55.25 in, 1966, tapestry; abstract art; brown; black; signed lower right
1306,Firedrake,Textiles, 00953, Sherri Smith, Cotton, 7' x 35',, textile; abstract art; geometric
1365,Navaho Saddle Blanket,Textiles,00013,Navaho,Wool,45 x 28 in,19th Century,textile
1353,Navaho Child's Blanket,Textiles,00013,Navaho,Wool,51 x 31 in,1870-1880,textile
4441,"Rock Crystal Vase, Enamel, Gemstone and Diamond",Vases,00911,Zadora Limited,Rock; crystal; gold; enamel; gemstone; diamond,,20th Century,"vase; flower; ""Zadora"" signature and possible engraved goldsmith initials"
4436,Venini Patchwork Vase,Vases,00881,Venini & Co.,Glass,9 in,,vase
4413,Venini Battuto Vase,Vases, 00881, Venini & Co, Glass vase, Height: 12 in,, No Image Associated with this Item; very worn; scratched at the bottom; acid stamp
4421,Style #11 Lange,Vases,01139,Teresita Naranjo,Ceramic pot,Height: 8.25 in; Width: 12.5 in,,
4420,Open Work #5213,Vases,00858,Clare Belfrage,blown glass and engraving,"8.5"" x 8"" x 2""",2013,artist's name engraved on bottom with signature
4433,Moche Stirrup Jar,Vases,00471,Moche,Ceramic; polished,24.6 cm x 6.5 cm x 6.5 cm,100-550 AD,MCH-136; handle cracked in three places; salinization on exterior
