,Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
564,Threepenny Opera | On the Street,"Drawings, Watercolors", 00876, Arbit Blatas, Pen and gouache on paper, 67.00 x 58.00 cm, 20th Century, drawing; impressionism; street; street light; crowd; signed
4483,Black Float Drawing,"Drawings, Watercolors",00872,Dale Chihuly,Drawing; Abstract,30 x 22 in,,
657,Threepenny Opera | The Quarrel,"Drawings, Watercolors",00876,Arbit Blatas,Pen and gouache on paper,67 x 58 cm,20th Century,drawing; impressionism; figures; men; standing; women; group; Signed
670,Native American Pipe Bag,Ethnographic Works of Art,01061,Native American,Leather beads,,1885,pipe bag; Native American
776,"Native American, Chief's Headdress with Sun Rays",Ethnographic Works of Art, 00248, Pacific Northwest; Tsimshian, Wood,,, mask; Pacific Northwest; sun; face
669,Beaded Kiowa Cradleboard,Ethnographic Works of Art, 00178, Kiowa,, 43 x 13 3/8 in, 1890-1910, cradleboard; Native American
696,Colt 1860 Model Army Revolver,Firearms and Blades,01198,Colt,Wood and metal,8 in barrel,1860,Serial number 23796; 4 screw frame; .44 caliber revolver
694,Colt First Model Martial Dragoon,Firearms and Blades,00650,Colt,Wood and metal,7.5 in barrel,,No image included for this item; Serial
793,MARR Silver Tea Service,Flatware,00623,,Silver,,1840s,silver; initials MARR etched on bottom of pieces
4515,Chalice,Holloware, 00475, Spanish Colonial, Hammered silver and gold, Height, 19th Century,
705,Feast Day,"Icons, Triptychs, Diptychs", 00285, Russia, Wood tempera,, 19th Century, icon; Life of Christ
4401,The Life of St. Nicholas,"Icons, Triptychs, Diptychs",01067,Russian,Tempera on wood,130 x 90 cm,15th Century,"icon, religious, St. Nicholas"
716,Duetto II,Instruments,00923,Mikio Watanabe,Mezzotint print,,20th Century,Signed lower left; #10/30
723,Lamoureux/ Ex-Zimbalist Stradivarius Violin,Instruments,01188,Antonio Stradivari,Wood,,1735,
715,1962 Gretsch White Penguin,Instruments,00087,Gretsch,"Wood body & neck, metal strings",,1962,"guitar; serial number 42012, has original tags"
742,1953 Yankees World Series Ring,Jewelry,00429,,Gold,,1953,
1269,"Bull Cuff Links, Citrine and Diamond",Jewelry,00911,Zadora Limited,Citrine; gold; diamond,,20th Century,"cuff links; bull; ""Zadora"" signature and possible engraved goldsmith initials"
1287,Pendant,Jewelry,00461,Akan,Gold,,1600-1800 A.D.,jewelry; human face
323,"Small Bee Brooch, Ruby and Diamond",Jewelry,00911,Zadora Limited,Ruby; Diamond; Gold,,20th Century,"brooch; bee; ""Zadora"" signature and possible engraved goldsmith initials"
745,1958 Yankees World Series Ring,Jewelry,00429,,Gold,,1958,
1242,Imperial Crown of San Jose,Jewelry, 00475, Spanish Colonial, Silver, Height: 34 cm, 19th Century, 08-03-01-v2.4-B006-8
749,Baltimore Orioles World Series Ring,Jewelry,00158,,"ring; baseball; ""B. Robinson"" engraved on side of ring. ""R.S. Gill"" engraved on the inside band",,1966,
1343,Ovoid Pendant,Jewelry,00461,Akan,Gold,10.50 x 6.50 cm,1600-1800,jewelry
1334,Beaded Civil War Era Brooch,Jewelry,00089,Anonymous,"Human hair, beads/stones",4.2 x 3.5 in,1840-1870,jewelry
1256,Pendant,Jewelry, 00461, Akan, Gold, 12.70 x 5.50 cm, 1600-1800 A.D., jewelry; crescent; human face
1351,Jade Alligator,Jewelry,00911,Zadora Limited,Jade; gold; diamond,,20th Century,"sculpture; alligator; ""Zadora"" signature and possible engraved goldsmith initials"
1326,"Griffin Cuff Links, Citrine",Jewelry,00911,Zadora Limited,Citrine; gold; diamond,,20th Century,"cuff links; griffin; ""Zadora"" signature and possible engraved goldsmith initials"
1349,Scroll Pendant,Jewelry,00461,Akan,Gold,6.50 x 6.00 cm,1600-1800,
328,"Frog Stickpen, Green Tourmaline, Ruby and Diamond",Jewelry,00911,Zadora Limited,Gold; Ruby; Diamond; Tourmaline,,20th Century,"""Zadora"" signature and possible engraved goldsmith initials"
1328,Lizard Pendant,Jewelry,00461,Akan,Gold,9.30 x 6.50 cm,1600-1800 A.D.,jewelry; lizard
1284,"Rhinoceros Cuff Links, Ruby, Citrine and Diamond",Jewelry,00911,Zadora Limited,Gold; Diamond; citrine; ruby,,20th Century,"No Image Associated with this Item; ""Zadora"" signature and possible engraved goldsmith initials"
304,"Flying Bat Pin, Enamel and Ruby",Jewelry, 00911, Zadora Limited, 18kt gold; Ruby; Diamond,,20th Century," ""Zadora"" signature and possible engraved goldsmith initials"
1253,Bead Necklace,Jewelry, 00461, Baole, Gold, 36.00 x 25.00 cm, 1600-1800, jewelry
756,Tiffany Lamp with Leaded Ivory Shape,"Lamps, Lighting", 00011, Tiffany; Frank Lloyd Wright, Stained glass," 4' 5""",, lamp
760,Daffodil,"Lamps, Lighting",00583,Tiffany,Stained glass bronze,Dia,,lamp; flowers; daffodil; leaves; Stamped Tiffany Studios
834,Hopi Vessel,Ornamental Ceramic Wares, 00145, Anonymous, Ceramic,, 1920s," pottery; painted with black geometric bird design, with small amount of red in wings of each bird; two chips, including large chip out of rim, surface worn, two cracks downward from rim"
866,Avery Engraved Bowl,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,9.70 cm,600 AD,"pottery; concentric circle design with crosshatched background on rim and body, repeated four times; no signs of use or wear"
838,Foster Trailed Incised Vessel,Ornamental Ceramic Wares, 00389, Caddo Nation, Ceramic, 14.40 cm, 600 AD, pottery; incised volute design with single flattened center nodes; no signs of use or wear
841,Hodges Engraved Bowl,Ornamental Ceramic Wares, 00389, Caddo Nation, Ceramic, 5.40 cm, 600 AD," pottery; engraved or incised linear design in red pigment; no signs of wear, missing rim pieces"
833,Foster Trailed-incised Vessel,Ornamental Ceramic Wares, 00389, Caddo Nation, Ceramic, 19.40 cm, 600 AD," pottery; trailed volute design, repeats 3 times, no center nodes; portions of interior and exterior lightly coated with soot"
861,Pre-Columbian Ceremonial Vessel,Ornamental Ceramic Wares,00689,Pre-Columbian,vessel; Pre-Columbian; nude man,,,
832,George IV Tea Service,Ornamental Ceramic Wares, 00091, England, Silver; ivory,, 19th Century, tea service; lion; dog; See description
887,Hodges Engraved Bowl,Ornamental Ceramic Wares,00389,Caddo Nation,Ceramic,6 cm,600 AD,"pottery; El Camino 1 design with traces of red pigment in lines; vessel is warped with large crack in one side, interior and exterior surfaces eroded"
4558,Cruchon Hibou (Owl Jug),Ornamental Ceramic Wares,00795,Pablo Picasso,Ceramic,10.4 in.,,Stamped Edition Picasso/Madoura Plein Feu
910,Imperial Crown,Other - Altar,00475,Spanish Colonial,Silver,Height: 22 cm.,19th Century,08-03-01-v-2.4-B006-10
951,Victorian Geisha,Other - Arts and Antiques, 00538, John Patrick Kelly, Bronze, 15 in,, hand mirror; woman; Signed; Edition Number 1/22
797,Monstrance,Other - Arts and Antiques,00475,,Silver; gold,115 cm x 48 cm x 38 cm,17th Century,CZ.C2/v/2.4/B.006/006
1044,1955 Most Valuable Player Award,Other - Arts and Antiques,00429,,Silver; wood,,1955,Inscription
801,Madonna del Murillo,Other - Arts and Antiques,00810,Bartolome Esteban Murillo; Italy,Mosaic,48 x 36 in,Circa 1600,mosaic; religious; Madonna; Signed
968,Heart and Seven Swords,Other - Arts and Antiques, 00475,, Silver, 11.5 x 19.2 cm, 20th Century, Spanish Colonial
342,Eighteenth Century English Black Lacquer Cabinet,Other - Arts and Antiques,00349,England,Wood lacquer,,Circa 1750,cabinet; buildings; trees
1036,"Ellis Island National Monument, Main building, New York/New Jersey",Other - Arts and Antiques,00895,,Printed paper,30.00 x 45.00 cm,Copyright: 1983,portfolio; Kenyon College books can be identified by the following
932,Fossil Horse,Other - Arts and Antiques, 00847, Partially mineralized bone,, 7.5 x 3.75 in,, fossil; catalogue number 352701; 4 of the tooth sockets for the incisors have their exterior walls broken off
1039,"Christy Mathewson, 1902 Baseball Contract",Other - Arts and Antiques,00616,New York Giants,Ink on paper,14 x 11 in,1902,document; contract; baseball; Christopher Mathewson; New York Giants; signed by Christopher Mathewson
1008,Ottoman Funerary Stele,Other - Arts and Antiques,01089,Ottoman,Marble,Height: 40.00 cm; Diameter: 30.00 cm,1316,"funerary stele, funeral"
350,Jade Candelabra Set,Other - Arts and Antiques,00911,Zadora Limited,Jade; Silver; Enamel,,20th Century,"candelabra; ""Zadora"" signature and possible engraved goldsmith initials"
1104,"Christy Mathewson, 1916 Baseball Contract",Other - Arts and Antiques,00616,Cincinnati Reds,Ink on paper,,1916,document; contract; baseball; Christopher Mathewson; Cincinnati Reds
1020,Pair of Gilt and Crystal Sconces,Other - Arts and Antiques,00183,,Gilt bronze,,1910,Sconce
981,Halo,Other - Arts and Antiques,00476,,Silver,,20th Century,"Spanish Colonial, metalwork; halo"
293,Tortoise Shell Box,Other - Arts and Antiques,00729,Dutch or Flemish,Wood; Shell; Silver,5 x 8.75 x 7 in,17th Century,Veneered barrel vault casket. Vertical cracks in tortoise on domed top; water damage spot on top; upper right above top lock repaired; one leg has 2-3 nails to keep it in place on the bottom side; vertical cracks around lower body. Original key in lock.
1015,Fossil Rodent in Matrix,Other - Arts and Antiques,00847,,Partially mineralized bone,3.25 x 2.5 in,,"fossil; catalogue number 336369; fractures, patterns, and lay of bones in matrix are unique"
960,Untitled Chinese Calligraphy Scroll,Other - Arts and Antiques, 00697, Hua Li; China, Paper, 50 x 34 in, 1987, scroll; calligraphy
990,Abstract Composition,Other - Arts and Antiques,00285,Yuri Annenkov,Collage,66.00 x 59.00 cm,,collage; abstract; signed lower right
4351,Los Reyes Magos (Three Magi),Other - Arts and Antiques,00687,Arnaldo Maas,Etching over opaline glass,16 x 20 in,20th Century,Signed in lower right corner
1027,Turning the Plow,Other - Arts and Antiques,00778,Clare Leighton,,3.5 x 5.25 in,1935,wood engraving; plow; Inscribed
1068,Triton,Other - Arts and Antiques,00663,Leone Leoni; Italy,Bronze,7.5 in,inkwell; man; turtle; Serial #BC1545,
963,Junyao Pot,Other - Arts and Antiques, 01204, Chinese," Fine clay, purple glaze (turned purple from turquoise after firing)", Height: 3.5 in; Diameter: 6 in, 13th Century, pottery; chinese; pot; bowl; glaze
971,Tiffany World Record Trophy,Other - Arts and Antiques, 00631, Tiffany, Silver,,, Inscribed
966,Ladyship Stakes Platter,Other - Arts and Antiques, Silver,,, 14 in,, Inscription
946,Untitled Chinese Buddhist Scroll,Other - Arts and Antiques, 00697, Hua Li; China, Paper, 102 x 34 in, 1989, scroll; Asian; Buddhism; figure; standing; robe; hat; Chinese characters
1153,Yokut Bottleneck,Other - Assorted,00203,Yokut - Lasyeth of the Bancalache Tribe (CA),,,Circa 1905,No Image Associated with this Item
1204,3 Mermaid Table Lamp,Other - Assorted,00674,,,25 in,,
1167,Untitled White Bowl with an HUA Phoenix Design,Other - Assorted,01140,Unknown (Chinese),Porcelain bowl,Height: 8.6 cm; Diameter: 18.9 cm,Second half of 15th Century,
1202,Monolithic Stone Axe,Other - Assorted,00221,,Stone,Approximately 7.5 inches maximum width along blade; approximately 14 inches overall length,Circa A.D. 1250-1375,Highly polished bluish-gray limestone monolithic axe; some repaired damage to bit and handle; Native American Mississippian culture
1148,Candlestick Tiffany Lamp,Other - Assorted,00956,Tiffany,Glass,12 in,,lamp; tulip
1147,Desk Clock,Other - Assorted,00240,Swiss,Green marble like material,7 in x 8 in,,No Image Associated with this Item; Serial #569583
1168,Cartier boat-shaped silver box set (cigarette box),Other - Assorted,01065,Cartier,Silver,Height: 6 cm; Length: 20 cm; Width: 8.5 cm,1925,No Image Associated with this Item
1187,Hopi Style # 14; Pamela Lunge,Other - Assorted,01139,Lucy Lewis,Ceramic pot,Height: 4.5 in.; Width: 5.75 in.,,
1115,Presidential Signatures,Other - Assorted, 00892,, Paper/manuscript,,,
1154,Faberge Ladle,Other - Assorted,00631,Faberge,Sterling Silver,,1900,No Image Associated with this Item; Russian inscriptions
1124,Isaac Newton Notes,Other - Assorted, 00366, Sir Isaac Newton, Ink on paper, 30 x 8 in, 1642-1727, manuscript; religious; Jesus Christ; Sir Isaac Newton
685,Decorative Andirons,Other - Assorted,00240,,Gold plated,18 x 14 x 5 in,,andiron; child
1731,Mythology I,Paintings, 00884, Adolfo, Acrylic on canvas, 47.25 x 37.5 in, 1994, painting; abstract art; blue; yellow; black; white; Signed lower right
2812,A Peaceful Parade,Paintings,00732,"Robert Stark, Jr.",Oil on canvas,24 x 54 in,2005,"painting; marine; signed lower right, R. Stark"
1541,Virgin of Saint Rose of Lima,Paintings, 00397, Mexico, Oil on canvas, 100.00 x 180.00 cm, 17th Century," painting; saint; baby; ""rosa cordis mei tv mihisponsa esto""; canvas cut from the frame"
2841,Elaine au Repos,Paintings,01016,Jacques Faure de Thierrens,Oil on panel,21.25 x 26 in,,painting; woman; sleeping; white shirt; blue skirt; signed
2753,The Paradise,Paintings,00819,Jan van Kessel the Elder,Oil on panel,21 x 28.5 in,17th Century,Painting; Religious; The work is in good condition. Some slight cracking of the paint (it's very uniform throughout the entire painting). There is dirt on the surface of the canvas. The frame is in very good condition. Wood frame (no glass covering)
1745,Chinese Lady,Paintings, 00926, Chinese, Watercolor needlepoint silk, 8 x 6 in, 19th Century, painting; Asian; woman; standing
2668,Portrait of John Steven McGroarty,Paintings,00964,Seymour Stephen Thomas,Oil on canvas,24 x 18 in,1934,"painting; portrait; right facing; man; tie; ""John McGroarty Aug. 8, 1934"" lower right; signed lower right"
1457,Tinkerbell,Paintings, 01004, Rebecca Midwood, Acrylic on wood painting, Height: 24 in x Width: 48 in, Period: 1999, No Image Associated with this Item; signed and dated on verso
2871,"Ocean Liners, 2 of 9",Paintings,00722,Laurence Dunn,painting,,,; 2 of 9; published by Hugh Evelyn
2493,Marine,Paintings,00958,Petrus Jan Schotel,Oil on canvas,43.50 x 58.50 cm,1808-1865,painting; sailing ships; ocean; signed on the small boat in the lower right
2573,Still Life of Roses in a Basket on a Table,Paintings,00079,Johan Laurents Jensen,Oil on canvas,15.5 x 18 in,1829,painting; still life; flowers; basket; table
1621,Scarecrow,Paintings, 00830, Donald Nield, Oil on canvas," 52"" x 60""", 1974,
1721,Arizona Trails,Paintings, 00362, Olaf Wieghorst, Oil on board, 16 x 20 in, 1981, painting; horse; man; riding; Native American; mountains; Arizona; signed
1473,Shah Abbas Playing Polo,Paintings, 00926," Behzad, Iran",, 10 x 12 in, 19th Century, painting; Persian; man; horse; riding; polo
2067,Elizabeth the First,Paintings,01046,Max Moran,Oil on canvas,26 x 34 in,1977-1978,
1738,California Springtime,Paintings, 00953, John Bond Francisco, Oil on canvas," 22 x 28 in, frame", 1863-1931, painting; landscape; canyon; signed lower left
2077,English Country Scene | English Countryside,Paintings,00690,George Shalders,Oil on canvas,3 x 4 in,1865,painting; realism; landscape; mountains; animals; water; signed
1603,Peonies and Lace,Paintings, 00908, Adolf Sehring, Oil on canvas, 24 x 20 in, 1997," painting; realism; still life; vase; flowers; lace; Signed in lower right corner ""A. Sehring"""
2919,Mid Autumn Night,Paintings,00406,Jiang Tie-Feng; China,Mixed media rice paper,20 x 20 in,1985,painting; Asian; modern art; woman; birds; flying; signed in Chinese
2104,Cafe Scene,Paintings,00008,Jules Pascin,Pencil watercolor,8 x 10.25 in,,painting; cafe; men; women; tables
2036,The Adoration of the Magi | L'adoration des Mages,Paintings,00466,,Oil on marble gilt wood,47.50 x 49.30 cm,17th Century,"painting, religious, Jesus Christ, Virgin Mary, Joseph, Magi"
2905,Man of La Mancha (Roundup Cover Art),Paintings,00080,Raul Rossell,Watercolor on paper,,,"painting,man; woman; knight; windmill; signed lower center"
2152,Adoration of the Three Wise Men,Paintings,00099,Jacob Bazzano,Oil on canvas,40 x 50 in,16th Century,Painting; adoration of Jesus
2742,Icons,Paintings,00875,Bonnie Maygarden,Acrylic on canvas,"8 x 12 in, individually",2016,
2614,Elephant Series,Paintings,00071,Christian Claerebout,Oil on paper,40 x 40 in,2002,painting; elephant; Signed upper right
1502,Balancing Triangles,Paintings, 00819, Alexander Calder, Gouache on paper, 27 x 40 in, 1963," Painting; Abstract; Signed and dated lower right ""Calder 63""; The gouache and paper appear to be in good condition. A little bit of yellowing along the top of the paper. Frame is wood with gold paint on the from edges. There is not a matte around the paper. Glass covering. Frame appears to be somewhat structurally unsound. The frame is coming apart at the top and bottom right corners."
2775,Aspens,Paintings,01213,Victor Higgins,Oil on canvas,Height: 12 in; Width: 14 in,c. 1932,landscape; trees; mountains; paintings
2240,Birches,Paintings,00569,Neil Welliver,Oil on canvas,12 x 12 in,20th Century,"painting; trees; snow; winter; signed ""Welliver"" lower right"
2028,Galatea,Paintings,00008,Raoul Dufy,Gouache,22 x 30.25 in,,painting; modern art; nude women; horses; signed
2265,Elegant Figures on a Terrace,Paintings,00954,Esias van de Velde,,Diameter: 6 in,,painting; figures
2229,Regina Resnik as Klytemnestra in Dressing Room,Paintings,00876,Arbit Blatas,Oil on carton,47 x 62.5 in,20th Century,"painting; impressionism; woman; sitting; mirror; gown; signed lower right ""Blatas"""
2514,Olivia Birthday Portrait with Watering Can,Paintings,01046,Max Moran,Oil on canvas,14 x 20 inches,,
2069,Celestial Dolphin,Paintings,00270,Apollo,Acrylic on canvas,24 x 48 in,,painting; dolphin; coral reef; framed in black lacquer
2000,The Entombment,Paintings,00374,Thomas de Keiser,Oil on panel,30 x 22 in,17th Century,painting; religious; Jesus Christ; death; people
2345,Jews at Cemetary in Marrakech,Paintings,00876,Arbit Blatas,Oil on canvas,24 x 48 in,20th Century,painting; impressionism; figures; six; sitting; unsigned
2490,Shock & Scan 6,Paintings,00076,Don Giffin,Acrylic plexiglas,36 x 32 in,2002,painting; abstract; red; white; yellow; purple; none
1879,Cowboy,Paintings,00747,Nicole Charbonnet,Mixed media on canvas,48 x 60 in,,
2678,British Harbor Scene II,Paintings,00926,T. H. Victor,Watercolor on paper,18 x 24 in,19th Century,painting; exterior; harbor; water; boats; Signed
1509,Desnudo en Circulos,Paintings, 00687, Martinez Roig, Oil on canvas over cardboard," 20"" x 18""", 20th Century," Signed ""Martinez Roig"" on lower right corner."
1503,Maryland Waterscape with Moored Sailboat,Paintings, 00722, Anonymous, painting; signed lower right corner,,,
2056,Beach Scene with People in Petticoats,Paintings,00722,Anonymous,painting,,,
2424,Christmas Night,Paintings,00600,Sydney Laurence,Oil on canvas,14 x 10 in,,painting; cabin; snow; night; signed
1959,Vineyard Haven Harbor #2,Paintings,01046,Max Moran,Oil on canvas,32 x 40 in,1986-1988,
2917,Tide on the Morning Bar,Paintings,00600,Sydney Laurence,Oil on canvas,10 x 12 in,,painting; ocean; water; waves; mountain
2740,Turkey,Paintings,00859,Whiting Tennis,Oil on canvas,30 x 24 in,2010,
1876,Alaskan Autumn,Paintings,00600,Sydney Laurence,Oil on canvas,16 x 20 in,,painting; cabin; trees; autumn; Signed
2445,Mr. and Mrs. Kelekian at the Table,Paintings,00876,Arbit Blatas,Oil on canvas,,20th Century,"painting; impressionism; man; woman; sitting; eating; table; flowers; Signed lower right ""A. Blatas"""
2317,A Farmer and Six Geese,Paintings,00488,Pieter Brueghel the Younger,,Diameter: 17 cm,1564-1638,painting; man; staff; geese; cottage; signed bottom center
1478,Laguna Landscape,Paintings, 00330, Marco Sassone, Oil on canvas, 15 x 17 in, 1975, painting; house; porch; balcony; trees; Signed lower left
2940,The Happy Orange Ginnt,Paintings,01031,James Rizzi,Oil on canvas acrylic,50 3/8 x 36 3/8 in,1972,"painting; modern art; portrait; full face; man; bird; ""Rizzi"" lower left"
1632,Peacocks in an Indian Garden,Paintings, 00626, Douglas Arthur Teed, Oil on canvas, 13 x 17 in, 1922, painting; exterior; garden; peacock; signed
2794,The Bottomless Pit,Paintings,00626,Harry Roseland,Oil on board,9 x 11.25 in,1947,painting; interior; room; African American; woman; child; rocking chair; table; signed
1566,Women Bathing,Paintings, 00995, Hrachya Hagopian, Oil on canvas," 24"" x 30""",, Contemporary
1863,Deux Fleurs et Element Mecanique,Paintings,01035,Fernand Leger,Oil on canvas,18 x 13 in,1954,"painting; abstract art; modern art; flowers; Signed lower right ""Leger 54""; title written on the reverse of the canvas"
1933,Banquette con Orquesta,Paintings,00401,,,,,painting; exterior; tree; building; music; orchestra
2297,Figurative Painting of Sara L.,Paintings,01046,Max Moran,Oil on panel,10 x 17 in,1992,
2912,Les Trois Barques d'Ajaccio | Fishermen with Three Boats,Paintings,00690,Jose Fabri-Canti,Oil on canvas,22 x 28 in,20th Century,painting; impressionism; boats; three; figures; standing; sitting; water; Signed
2359,Souls in Purgatory,Paintings,00392,,Oil on canvas,160.00 x 106.00 cm,18th Century,painting; Virgin Mary; Cedula # 003617-4; Wooden frame. Lower part of frame is scraped and broken.
2043,Shah Abras with Falcon,Paintings,00926,Master Mohammad Hassan Afshar,Skin,14 x 10 in,19th Century,painting; Persian; man; falcon; signed
2524,Young Bohemian,Paintings,00423,Albert Handell,Oil on canvas,30 x 20 in,,painting; portrait; right facing; man; beard
1508,Faces in the Hood Series,Paintings, 00873, Tyree Guyton, Metal; paint; automobile hood, 60 x 60 in, 1990s, painting; face; modern art; Small ID number on back
2190,Moulin de la Galette,Paintings,00026,Elisee Maclet,Oil on canvas,21 x 24 in,20th Century,painting; French; street; buildings; trees; people; walking; windmill; signed
2556,Rue a Macon,Paintings,00804,Camille Pissarro,Watercolor,6.75 x 9.13 in,19th Century,
2508,Fairmount Water Works,Paintings,00082,John A. Woodside,Oil on canvas,22 x 27 1/8 in,1842,Painting
2018,165-Y,Paintings,00964,Ishizo Nishio,Oil on canvas,36 x 46 in,1900-1965,painting; abstract art
1547,Regina Resnik Making Up as Klytmenestra,Paintings, 00876, Arbit Blatas, Oil on carton,, 20th Century, painting; impressionism; woman; profile; sitting; mirror; unsigned
1887,Haitian Neighborhood,Paintings,00953,Avery Fischer Johnson,Watercolor,14 x 21 in,Circa 1935,painting; exterior; buildings; children; street; palm tree
2655,Untitled,Paintings,00297,Madeleine Rouart,Oil on canvas,15.5 x 20.5 in,,
2522,"Untitled Erte Painting, Shooting Star and Figure",Paintings,00056,Erte,,36 x 24 in,1904-1989,painting; modern art; shooting star; figure; red; black; Signed lower right
2947,Talking,Paintings,00934,Kasimir Malevich,Watercolor,13 x 12 in,1900-1935,"painting, cubism, man; Signed lower right"
2557,Figures in a Parisian Park,Paintings,00675,Luigi Loir,Oil on panel,3.75 x 6.25 in,1865-1916,"painting; people; park; trees; impressionism; blue; Signed on lower right ""Loir Luigi"""
2370,A woody landscape with figures in a glade,Paintings,01121,Edward Williams,Oil on panel,11 x 14.5 in.,,
2918,Racoon In Dress,Paintings,00796,Lucien Smith,Oil on canvas,8.75 x 11.75 in,2015,LuSm 82
1930,Lincoln Winter Park Scene,Paintings,00953,Ethel Spears,Gouache,22 x 30 in,1937,"painting; exterior; park; winter; trees; ice skating; snow; Signed lower right ""Ethel Spears 1937"""
2308,The Holy Family with the Infant St. John,Paintings,01052,Julio Romano,Oil on canvas,83.00 x 66.00 cm,17th Century,painting; religious; Virgin Mary; Jesus Christ; woman; men; children; unsigned
2409,Paysage au Coq Rouge,Paintings,00485,Fernand Leger,Oil on canvas,"25.75"" x 36""",1937,Colors
1420,Still Life from College - CCAD,Paintings, 01046, Max Moran, Oil on canvas, Approximately 22 x 22 inches,,
2200,Samurai,Paintings,00964,,Watercolor,16 x 12 in,1900-1969,painting; Japanese; man; samurai
1872,Newborn Dolphin,Paintings,00197,Robert Wyland,Oil on canvas,20 x 29.5 in,1988,painting; water; ocean; dolphins; Signed
1865,County Fair,Paintings,00964,Charlotte Burger,Oil on canvas,38 x 25 in,Prior to 1969,painting; fair
2315,"Jesus Prisionero | Jesus, the Prisoner",Paintings,01126,Unknown,Oil on canvas,Height: 150 cm; Width: 100 cm,18th Century,
1851,Building the Airfield India,Paintings,00337,Millard Sheets,Watercolor on paper,20.75 x 29.5 in,1943,"painting; airplane; woman; lower right ""to Doris and Harold with great appreciation - Millard"" 1944 India"
2116,The Couple,Paintings,00995,Samuel Hampartzoumian,Oil on canvas,"20"" x 24""",Contemporary,signed lower left
2739,Canal Light,Paintings,00809,Gerhardt Miller,Egg tempera,20.75 x 27 in,1972,painting; landscape; water; tree; lighthouse; Signed lower left
2855,Seated Nude Female,Paintings,00057,Houshang Peyman,Oil on canvas,35 x 24 in,1994,painting; portrait; nude woman; sitting; water; unsigned; canvas cut out of frame
2053,Summer Cottage,Paintings,00953,Bruce McKain,Oil,24.25 x 29.25 in,Circa 1935,
1374,Woman Sweeping a Porch,Paintings, 00730, Fernand de Braekeleer, Oil on wood, 30 x 23 in, 1810, painting; woman; porch; broom; Nameplate on front and signed Fernand de Braekeleer
2758,Untitled Guyton,Paintings,00873,Tyree Guyton,Paint; Wood,60 x 36 in,1996,painting; face; man; modern art
2856,Devil Mask,Paintings,00006,Alexander Calder,Gouache,73.75 x 108.12 cm,1974,painting; modern art; devil; pitchfork; Signed and dated lower right
2232,San Antonio,Paintings,00050,Peru,Oil on canvas,40 x 30 in,18th Century,painting; religious; Saint Anthony; Jesus Christ
1422,A Classical Landscape with Two Figures,Paintings, 00954, Gaspard Dughet, Oil on canvas, 51.00 x 69.00 cm, 1615-1675, painting; landscape; trees; road; people; walking
1433,Indian Cache,Paintings, 00600, Sydney Laurence, Oil on canvas, 10 x 8 in,, painting; exterior; cabin; stilts; clouds; Signed lower right
2075,Beach Scene with Figure,Paintings,00643,Frederick H. Mcduff,Oil on canvas,16 x 12 in,1950-2000,"painting; landscape; beach; signed Fred Mcduff lower right; linen matte, gilt wood frame"
1405,Untitled (Faces of God Series),Paintings, 00873, Tyree Guyton, Plaster paint, 36 x 18 in, 1998, painting; face; modern art
1548,Untitled Abstract Landscape (Kandinsky),Paintings, 00934, Wassily Kandinsky, Oil on board, 15 x 21 in, 1890-1944," painting, expressionism, landscape, road, tree, sun, mountain; signed lower left"
2806,American Ship in Storm,Paintings,00578,,,29 x 38 in,1850,painting; sailing ship; waves; storm
1893,Paris - Chez La Mere Catherine,Paintings,00876,Arbit Blatas,Oil on carton,39.00 x 81.00 cm,1972,painting; impressionism; interior; tables; chairs; men; women; unsigned
2412,Racing Past the Club House,Paintings,00831,John Henry Rouson,Oil on canvas,Width,1995-1999,printed signature
2785,Untitled Mixed Media Painting,Paintings,00934,Ivan Vassilievich Kliun,Mixed media,23 x 17 in,1900-1950,"painting, abstract art, yellow, purple, black"
2403,Hudson Valley,Paintings,00225,G. Coste,Oil,14 x 10 in,,painting; realism; landscape; mountains; trees
2870,Light Trap 8204,Paintings,00391,Ron Cooper,polyester resin; fiberglass; acrylic,"24 x 24 in, y",1982,Carries artist label on back; no signature
1534,Stations of the Cross - 9,Paintings, 00444, Ben Stahl,, 9' x 6', 1954, painting; religious; Jesus Christ; cross; whip
2283,"Blue Calligraphy, Orange Sky",Paintings,00006,Alexander Calder,Gouache,73.75 x 103.75 cm,1962,painting; abstract art; black; red; orange; signed and dated lower right
2282,Flower #2,Paintings,00861,Chucho Reyes,Tempera on tissue,36 x 20.5 in,,painting; flower; vase; signed
2117,Stephen VanRensselaer,Paintings,00939,,Oil on canvas,29 x 24 in,Early 19th Century,"painting; portrait; left facing; man; gray hair; cravat; Engraved plate at bottom of frame ""Stephen VanRensselaer"""
1649,St. Nicholas,Paintings, 00374, Russia, Tempera and gold on panel, 11 x 8 in, 16th Century, painting; icon; religious; man
1706,Standing Figure,Paintings, 00964, Keith Finch, Oil on board, 21 x 12 in, 1900-1957, painting; modern art; figure; standing
1529,Artist's Mother,Paintings, 00876, Arbit Blatas, Oil on canvas,, 1927," painting; portrait; full face; woman; brunette; Signed and dated lower right ""A. Blatas"""
2307,Portrait of Cardinal Odescalchi,Paintings,00466,,Oil on canvas,95.00 x 72.00 cm,End of 18th Century,"painting, cardinal"
